Loop number | Prosperity | Total Cooperators | Average RoleConProb | Average RoleNeighborConProb
5, 24.309764309764308, 51
10, 23.814814814814813, 52
15, 22.589225589225588, 52
20, 20.54769921436588, 49
25, 19.18742985409652, 46
30, 19.051627384960717, 48
35, 18.778900112233448, 49
40, 17.736251402918068, 49
45, 16.906846240179576, 49
50, 16.69472502805836, 49
55, 15.753086419753087, 49
60, 15.278338945005613, 49
65, 14.433221099887767, 48
70, 14.143658810325476, 49
75, 14.039281705948373, 51
80, 13.445566778900112, 50
85, 13.435465768799101, 49
90, 13.041526374859707, 48
95, 12.846240179573511, 48
100, 12.588103254769923, 47
105, 12.792368125701458, 48
110, 12.338945005611672, 48
115, 11.868686868686869, 46
120, 12.023569023569024, 48
125, 12.428731762065096, 50
130, 12.067340067340067, 48
135, 11.435465768799101, 48
140, 11.243546576879911, 47
145, 11.282828282828284, 48
150, 10.792368125701458, 48
155, 10.790123456790123, 49
160, 10.104377104377104, 48
165, 9.973063973063972, 51
170, 9.546576879910214, 50
175, 9.687991021324354, 51
180, 9.851851851851851, 52
185, 10.150392817059483, 52
190, 9.762065095398428, 54
195, 9.508417508417509, 53
200, 8.924803591470258, 50
205, 8.4006734006734, 50
210, 8.367003367003367, 51
215, 8.052749719416386, 51
220, 7.634118967452301, 49
225, 7.15712682379349, 48
230, 7.425364758698091, 48
235, 7.492704826038159, 48
240, 7.326599326599327, 49
245, 7.665544332211, 51
250, 7.453423120089788, 49
255, 6.846240179573512, 46
260, 7.115600448933783, 47
265, 7.069584736251403, 46
270, 6.673400673400673, 45
275, 6.567901234567901, 46
280, 6.328843995510662, 45
285, 6.865319865319865, 46
290, 6.3793490460157125, 43
295, 6.5331088664422, 44
300, 6.439955106621774, 43
305, 6.410774410774412, 44
310, 6.313131313131313, 44
315, 6.094276094276094, 44
320, 5.971941638608305, 44
325, 5.751964085297419, 42
330, 5.709315375982043, 44
335, 5.802469135802469, 46
340, 6.10662177328844, 48
345, 6.151515151515151, 46
350, 5.7272727272727275, 43
355, 5.558922558922559, 41
360, 5.051627384960718, 38
365, 5.087542087542087, 40
370, 5.178451178451179, 41
375, 5.160493827160494, 42
380, 5.273849607182941, 42
385, 5.494949494949495, 44
390, 5.296296296296296, 45
395, 4.812570145903479, 45
400, 4.562289562289562, 45
405, 4.592592592592593, 45
410, 4.219977553310886, 43
415, 4.107744107744108, 43
420, 3.7856341189674523, 41
425, 3.845117845117845, 42
430, 3.900112233445567, 42
435, 3.829405162738496, 42
440, 3.5375982042648713, 39
445, 3.3815937149270483, 39
450, 3.1683501683501682, 38
455, 3.2839506172839505, 39
460, 3.2884399551066217, 39
465, 3.0404040404040407, 39
470, 3.8148148148148144, 42
475, 3.7687991021324354, 40
480, 3.722783389450056, 41
485, 4.074074074074074, 44
490, 4.316498316498317, 44
495, 4.41638608305275, 43
500, 4.316498316498317, 43
505, 4.1661054994388325, 42
510, 4.508417508417508, 45
515, 4.488215488215489, 45
520, 4.494949494949495, 47
525, 4.764309764309764, 50
530, 4.896745230078563, 52
535, 4.780022446689113, 53
540, 4.58361391694725, 54
545, 4.545454545454546, 53
550, 4.4792368125701465, 54
555, 4.491582491582491, 56
560, 4.718294051627385, 57
565, 4.656565656565657, 58
570, 4.657687991021325, 60
575, 4.602693602693603, 59
580, 4.483726150392817, 59
585, 4.570145903479237, 60
590, 4.58361391694725, 59
595, 4.845117845117845, 60
600, 4.870931537598204, 62
605, 4.814814814814815, 61
610, 4.632996632996633, 60
615, 4.505050505050505, 61
620, 4.395061728395062, 61
625, 4.413019079685746, 58
630, 4.529741863075197, 57
635, 4.574635241301908, 59
640, 4.5353535353535355, 59
645, 4.168350168350169, 58
650, 4.2300785634118965, 56
655, 4.085297418630752, 55
660, 3.8922558922558923, 53
665, 4.007856341189674, 54
670, 3.9292929292929295, 53
675, 3.6588103254769924, 53
680, 3.2008978675645348, 51
685, 3.5948372615039283, 53
690, 3.772166105499439, 56
695, 3.8383838383838382, 57
700, 3.791245791245791, 58
705, 3.829405162738496, 58
710, 3.687991021324355, 57
715
