Loop number | Prosperity | Total Cooperators | Average RoleConProb | Average RoleNeighborConProb
5, 24.372615039281705, 50, 0.5025, 0.505
10, 23.17171717171717, 49, 0.51, 0.5025
15, 22.34455667789001, 48, 0.515, 0.5025
20, 20.6307519640853, 45, 0.5125, 0.505
25, 18.869809203142538, 42, 0.505, 0.515
30, 18.13804713804714, 42, 0.5025, 0.525
35, 18.410774410774412, 45, 0.5025, 0.515
40, 18.510662177328843, 47, 0.4975, 0.515
45, 17.79573512906846, 46, 0.5025, 0.515
50, 16.31425364758698, 44, 0.5025, 0.525
55, 15.470258136924803, 43, 0.5025, 0.53
60, 15.392817059483727, 45, 0.4975, 0.54
65, 15.877665544332212, 48, 0.4975, 0.54
70, 16.377104377104377, 50, 0.505, 0.5375
75, 15.800224466891134, 50, 0.505, 0.545
80, 16.127946127946128, 52, 0.49, 0.5375
85, 16.221099887766556, 52, 0.495, 0.5425
90, 15.927048260381593, 52, 0.495, 0.54
95, 14.872053872053872, 50, 0.4925, 0.535
100, 14.554433221099888, 52, 0.49, 0.5375
105, 13.709315375982042, 50, 0.495, 0.5375
110, 13.387205387205386, 52, 0.4975, 0.535
115, 12.549943883277217, 51, 0.5025, 0.5225
120, 12.258136924803592, 50, 0.5, 0.5275
125, 12.760942760942761, 51, 0.5025, 0.535
130, 12.705948372615039, 51, 0.5, 0.52
135, 12.141414141414142, 50, 0.5075, 0.5175
140, 11.866442199775532, 48, 0.5075, 0.5225
145, 12.19304152637486, 50, 0.5075, 0.52
150, 11.607182940516275, 50, 0.5075, 0.5125
155, 11.434343434343434, 49, 0.5025, 0.515
160, 11.676767676767676, 51, 0.5, 0.53
165, 11.833894500561168, 50, 0.505, 0.5375
170, 11.558922558922559, 50, 0.5075, 0.5325
175, 11.459034792368126, 50, 0.5125, 0.5225
180, 10.911335578002245, 49, 0.51, 0.515
185, 10.358024691358024, 48, 0.5075, 0.53
190, 10.093153759820426, 46, 0.51, 0.53625
195, 9.868686868686869, 45, 0.5125, 0.54
200, 10.118967452300785, 45, 0.5125, 0.54
205, 10.27384960718294, 47, 0.5125, 0.555
210, 9.861952861952862, 45, 0.52, 0.57375
215, 9.810325476992144, 45, 0.5125, 0.575
220, 9.921436588103255, 46, 0.505, 0.5825
225, 10.19753086419753, 48, 0.51, 0.575625
230, 10.585858585858587, 49, 0.515, 0.574375
235, 11.030303030303031, 51, 0.5125, 0.584375
240, 10.603815937149271, 49, 0.52625, 0.59625
245, 10.395061728395062, 50, 0.53, 0.58875
250, 9.790123456790123, 48, 0.5325, 0.581875
255, 9.58473625140292, 48, 0.5375, 0.55625
260, 9.162738496071828, 48, 0.5325, 0.544375
265, 8.68462401795735, 49, 0.535, 0.5125
270, 8.419753086419753, 48, 0.52625, 0.50625
275, 7.861952861952862, 47, 0.5275, 0.504375
280, 8.2996632996633, 49, 0.5275, 0.496875
285, 8.316498316498317, 51, 0.52125, 0.48125
290, 8.346801346801346, 53, 0.51625, 0.4675
295, 8.699214365881032, 54, 0.50125, 0.464375
300, 8.64983164983165, 55, 0.49, 0.468125
305, 8.154882154882156, 54, 0.4875, 0.4625
310, 7.205387205387205, 52, 0.4825, 0.449375
315, 7.127946127946128, 54, 0.48375, 0.433125
320, 6.5353535353535355, 53, 0.48625, 0.42
325, 6.386083052749719, 53, 0.4875, 0.41125
330, 6.534231200897868, 53, 0.4825, 0.42125
